snapshot_time,theta_rad,theta_deg,zeta_wall,slope_dz_dr,contact_angle_deg,ci_low_deg,ci_high_deg,ci_width_deg,fit_cond,fit_cond_global,model_diff_deg,n_points,n_unique_r,r_span,status,quality_tier,estimator_source,flag_sparse_local,flag_ill_conditioned,flag_wide_ci,flag_model_mismatch,flag_fallback_used,used_in_strict_stats,used_in_all_stats
1.5,-0.596902604182,-34.2,0.00444631842128,0.232247800689,76.9249768769,74.9241370851,78.6418744239,3.71773733876,336.068397913,756.099546613,3.70344936057,49,49,0.000330306123942,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-0.53407075111,-30.6,0.00444594850938,0.236895168357,76.6725899653,75.1956382977,78.0802174823,2.88457918463,322.787971273,756.099546613,3.62526938661,49,49,0.00033088424243,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-0.471238898038,-27,0.00444526791899,0.240183623703,76.4943192677,73.3192320577,77.9818054156,4.66257335788,308.452361316,756.099546613,3.4707753594,49,49,0.00033088424243,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-0.408407044967,-23.4,0.00444461859735,0.237669547803,76.6305862261,73.8935257571,78.3502771565,4.4567513994,308.093045148,756.099546613,3.66404459264,50,50,0.000330111244693,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-0.345575191895,-19.8,0.00444393688353,0.23907402766,76.5544420635,74.6401758765,78.3798783623,3.73970248582,321.623225933,756.099546613,3.63465190326,49,49,0.000326730310917,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-0.282743338823,-16.2,0.00444255392864,0.236778318481,76.6789293818,74.9276512335,78.404792565,3.47714133149,329.426652205,756.099546613,3.80748760573,48,48,0.000329195056111,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-0.219911485751,-12.6,0.00444137359823,0.245475185899,76.2080176987,74.1991911132,77.755527126,3.55633601272,324.339720423,756.099546613,3.44527339659,50,50,0.000329700764269,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-0.157079632679,-9,0.00443985485946,0.239491423569,76.5318221694,74.4897472245,78.3118770129,3.8221297884,340.559414681,756.099546613,3.70016939455,48,48,0.000326503068209,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-0.0942477796077,-5.4,0.00443828475421,0.238100932718,76.6071934729,75.2169607752,78.1106471264,2.89368635123,333.202943762,756.099546613,3.78044139969,49,49,0.000326605048031,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,-0.0314159265359,-1.8,0.00443665655923,0.24631074176,76.1628734489,74.9492914124,77.4955876701,2.54629625766,267.791463614,756.099546613,3.42618166329,50,44,0.000290646450594,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.0314159265359,1.8,0.00443326402386,0.245387709876,76.212744952,74.804752751,78.1102625587,3.30550980764,260.757798648,756.099546613,3.31677694557,51,45,0.000290646450594,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.0942477796077,5.4,0.00442793944029,0.241993358482,76.3963249142,73.5839474006,78.6784170623,5.09446966164,267.016277713,756.099546613,3.90378320936,53,53,0.000326697016135,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.157079632679,9,0.00442244251502,0.248169028238,76.0625349467,72.2780546553,79.392745983,7.11469132766,267.038836886,756.099546613,3.71553520799,55,55,0.000326595036313,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.219911485751,12.6,0.00441585313167,0.253981127361,75.7492744052,72.9890969729,79.3471491228,6.35805214988,308.987233537,756.099546613,3.52640184645,59,59,0.000329700764269,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.282743338823,16.2,0.00440409029687,0.189711240443,79.2580020069,75.7715322551,83.5161594945,7.74462723934,391.65228066,756.099546613,5.93377310318,58,58,0.000329195056111,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.345575191895,19.8,0.00439796668055,0.189031249392,79.2956138085,74.9709594933,82.922030861,7.95107136775,432.070707219,756.099546613,6.23878492025,56,56,0.000326730310917,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.408407044967,23.4,0.0043908290272,0.219549250975,77.6172175449,74.3160446484,80.8927698345,6.57672518611,390.84760042,756.099546613,4.76375800288,52,52,0.000330111244693,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.471238898038,27,0.00438179977574,0.227126264216,77.2037137355,74.1647184486,80.5385351204,6.37381667177,335.376305238,756.099546613,4.10107938714,48,48,0.00033088424243,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.53407075111,30.6,0.00437559764266,0.24705574275,76.1226365582,73.0079048383,78.9084446868,5.90053984851,329.724992172,756.099546613,3.18036843826,49,49,0.00033088424243,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.596902604182,34.2,0.00437048130819,0.244292281613,76.2719586994,73.4225122564,78.486846659,5.06433440259,323.850163214,756.099546613,3.37757871679,49,49,0.000330325681716,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.659734457254,37.8,0.00436686303084,0.236572490626,76.690096898,74.4438816146,79.2264627052,4.78258109061,313.290609804,756.099546613,3.72567710968,48,48,0.000330325681716,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.722566310326,41.4,0.00436541655785,0.2491012876,76.012230232,73.6943912675,77.4243027199,3.7299114524,301.791376014,756.099546613,3.28069582401,48,48,0.00033093849197,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.785398163397,45,0.00436417762265,0.248241717875,76.0586118248,74.1204125553,77.4845180131,3.36410545784,254.406517413,756.099546613,3.48031976499,48,48,0.000315718585625,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.848230016469,48.6,0.00436387185251,0.25186217079,75.8633822362,73.4192314518,77.2186144298,3.79938297802,298.161024812,756.099546613,3.32647754114,48,48,0.000330881914124,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.911061869541,52.2,0.00436316979462,0.240818955562,76.4599078224,74.8507073248,77.9428138506,3.09210652576,302.039951616,756.099546613,3.69330480014,49,49,0.000331125454977,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,0.973893722613,55.8,0.00436419373922,0.245771957026,76.1919814478,73.6103606514,77.8345719129,4.22421126153,304.791044105,756.099546613,3.58747727948,48,48,0.000331125454977,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,1.03672557568,59.4,0.00436538058332,0.250724152671,75.9247129396,73.9835948705,77.5359253207,3.55233045022,299.74463755,756.099546613,3.3993205123,49,49,0.000330762006342,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,1.09955742876,63,0.00436634874518,0.249746414462,75.9774320594,74.3534789025,77.223309622,2.86983071952,291.657270344,756.099546613,3.39527982265,49,49,0.000330762006342,high,high,local_quadratic,0,0,0,0,0,1,1
1.5,1.16238928183,66.6,0.00436764919839,0.243851483958,76.2957946132,74.6774124566,77.5330438496,2.855631393,298.279133989,756.099546613,3.68593498742,50,50,0.000330227892846,high,high,local_quadratic,0,0,0,0,0,1,1
