timestamp,normU,maxDeltaAlpha,interfaceHeightMaxRel,interfaceHeightMinRel
0.288202,0.000995870467503,0.0052483,-0.000722089209735,-0.000743916703594
0.288887,0.000984982196648,0.004634,-0.000718670319027,-0.000741455532459
0.289447,0.000975061969605,0.003241,-0.000716873889716,-0.000740050463024
0.289962,0.000965129240021,0.002602,-0.000714484787126,-0.000737653977371
0.290541,0.000956748176238,0.002863,-0.000712020279752,-0.000735117396931
0.29113,0.000943487869666,0.003495,-0.000709203578799,-0.000732735288039
0.291663,0.000929320975657,0.002665,-0.000706845710904,-0.000732399387215
0.292273,0.000914582081315,0.0030243,-0.000704594324825,-0.000730747401201
0.29276,0.000908983668906,0.003464,-0.000702827153326,-0.000728870666302
0.293448,0.000893641008207,0.003346,-0.000702136863969,-0.000728943451053
0.293895,0.000881657184768,0.002418,-0.000700462664849,-0.00072738205526
0.294547,0.000869476588239,0.002386,-0.00069882893068,-0.000726120850487
0.295074,0.000861594566866,0.001772,-0.000698143555003,-0.000724703951958
0.295739,0.000847009479566,0.002303,-0.000695969496302,-0.000724704973624
0.296247,0.000840158236373,0.002399,-0.000695628110957,-0.000725172656926
0.296738,0.000835265067625,0.002079,-0.0006953942174,-0.000727289617474
0.297437,0.000827876428629,0.002591,-0.000696934692727,-0.000729697743017
0.297832,0.000821645094773,0.001588,-0.000697061573879,-0.000730256940286
0.298546,0.000816596459487,0.004443,-0.000698862417163,-0.000731837691903
0.299044,0.000815295672676,0.003672,-0.000700507875694,-0.000733203527261
0.299721,0.000821376840986,0.003922,-0.000703317455422,-0.000735130677476
0.300418,0.000836521217159,0.004402,-0.000707840732632,-0.000737174817783
0.301016,0.000842692250937,0.00408,-0.000710852062652,-0.000740350029667
0.301671,0.000839919693477,0.004107,-0.000714472251662,-0.000743306034105
0.302264,0.000821294082293,0.0033139,-0.000717173088567,-0.000746155676942
0.302888,0.000790965538208,0.0038553,-0.000720307132555,-0.000748404623814
0.303395,0.000768370068345,0.002693,-0.000721856933156,-0.000748735371576
0.304092,0.000752088242972,0.0032136,-0.000723286752376,-0.000749438206469
0.304677,0.000745408665445,0.002462,-0.00072468249645,-0.000749599602143
0.305341,0.000753146148708,0.0017182,-0.000724705995287,-0.000750978408376
0.306018,0.000761951854415,0.0027968,-0.00072590487614,-0.000748274505731
0.306576,0.00076678888242,0.003212,-0.000725970086699,-0.000749239984001
0.30728,0.000777144700275,0.002863,-0.000725831503138,-0.000747069548175
0.307691,0.000787552974734,0.0015726,-0.00072567656589,-0.000746892643159
0.308367,0.00080495725235,0.0031279,-0.000724134529469,-0.000744524683886
0.308972,0.000813029100744,0.002917,-0.000723062258954,-0.0007431016386
0.309569,0.000824015281373,0.002281,-0.000722551357544,-0.000742523059411
0.310141,0.000835792706375,0.0040269,-0.000721652309084,-0.000740462439096
0.310835,0.000835654015745,0.003905,-0.00071914625628,-0.000738799887196
0.311363,0.000829719279608,0.0043135,-0.000717060911729,-0.00073625551105
0.312066,0.000823943384338,0.0051934,-0.000714551637197,-0.000735277735944
0.31255,0.00081731707196,0.0032597,-0.000712741191889,-0.000733177454224
