time,max_z,min_z,mean_z,num_points
4.5,0.004153307992964983,0.004149151500314474,0.004150012973695993,3138
4.6,0.004150659777224064,0.004148908890783787,0.004149992484599352,3024
4.7,0.004151793196797371,0.004149191547185183,0.004150056280195713,3043
4.8,0.004154670983552933,0.004147946834564209,0.004150033928453922,3118
4.9,0.004153592512011528,0.004146717954427004,0.004149974789470434,3045
5.0,0.004150797612965107,0.004148649983108044,0.00415000319480896,3002
5.1,0.004152525216341019,0.004147336818277836,0.004149967338889837,3075
5.2,0.004151600878685713,0.004148005973547697,0.004150023218244314,3023
5.3,0.004150682128965855,0.004149116575717926,0.004149999935179949,3125
5.4,0.004150655586272478,0.0041490960866212845,0.004150001797825098,3023
5.5,0.004151282832026482,0.004149107728153467,0.004150029271841049,3030
5.6,0.0041520618833601475,0.004148718900978565,0.004149989224970341,3102
5.7,0.00415103230625391,0.004149237647652626,0.004150043707340956,3028
5.8,0.004150667227804661,0.004148757550865412,0.004149959422647953,3007
5.9,0.004151744768023491,0.004148376174271107,0.004150013905018568,3107
6.0,0.004151177126914263,0.004148636944591999,0.004149976652115583,3059
6.1,0.004151110537350178,0.0041491081938147545,0.00415001530200243,3010
6.2,0.0041509633883833885,0.004149019252508879,0.004149978049099445,3069
6.3,0.004155938513576984,0.0041460818611085415,0.004149977583438158,3070
6.4,0.0041511524468660355,0.004149091430008411,0.004150013905018568,3014
6.5,0.004151028580963612,0.0041488842107355595,0.004149983171373606,3086
6.6,0.004150839056819677,0.00414861086755991,0.004149976652115583,3097
6.7,0.004151085391640663,0.0041491081938147545,0.004150009248405695,3020
6.8,0.0041506183333694935,0.004149092826992273,0.00414997898042202,2955
6.9,0.0041510798037052155,0.004148952662944794,0.00414999108761549,2978
7.0,0.004150754306465387,0.004148996900767088,0.004149994812905788,3001
7.1,0.004150488879531622,0.004149083513766527,0.004149979446083307,3037
7.2,0.004150927998125553,0.004149128682911396,0.004150018095970154,3050
7.3,0.0041505456902086735,0.0041490355506539345,0.0041500055231153965,2998
7.4,0.004151633474975824,0.004149173852056265,0.004150031600147486,3114
7.5,0.004150923807173967,0.004149153362959623,0.004150021821260452,2960
7.6,0.0041506425477564335,0.004149105865508318,0.004150013905018568,3121
7.7,0.004150989465415478,0.004147969651967287,0.004150000866502523,3113
7.8,0.004151183646172285,0.0041490644216537476,0.004150004591792822,3040
7.9,0.004154496360570192,0.004145869053900242,0.00415000831708312,3131
8.0,0.00415158411487937,0.00414843438193202,0.004149997606873512,3066
8.1,0.004151062108576298,0.004148838110268116,0.004150014370679855,3134
8.2,0.0041506048291921616,0.004148980602622032,0.004150007851421833,3069
8.3,0.0041506970301270485,0.00414904672652483,0.004149994347244501,3022
8.4,0.004154480993747711,0.004148123320192099,0.004150052089244127,3135
8.5,0.004150852095335722,0.004148614127188921,0.0041500055231153965,2985
8.6,0.004151236265897751,0.004148932173848152,0.004150051157921553,2924
8.7,0.004151613917201757,0.0041491929441690445,0.00415002228692174,3004
8.8,0.00415073661133647,0.004148808307945728,0.004149977583438158,3033
8.9,0.004150595515966415,0.004148547071963549,0.004149933345615864,3000
9.0,0.004150602500885725,0.0041486178524792194,0.004149919375777245,3037
9.1,0.004151119384914637,0.0041485438123345375,0.004149953369051218,2938
9.2,0.004151301924139261,0.004148383159190416,0.004149962216615677,2964
9.3,0.004151973407715559,0.00414902763441205,0.00415003439411521,3085
9.4,0.004150709602981806,0.004148820880800486,0.004150000866502523,3047
9.5,0.004151603206992149,0.00414873193949461,0.004149999935179949,3087
9.6,0.004154921974986792,0.004146676976233721,0.00414999108761549,3106
9.7,0.004153123125433922,0.004147213418036699,0.004150025546550751,3063
9.8,0.004151877481490374,0.004149144981056452,0.0041500297375023365,3140
9.9,0.00415175873786211,0.0041490038856863976,0.0041499934159219265,3074
10.0,0.004154928494244814,0.004148390609771013,0.004150015767663717,3115
